claim_id,dwellings,damaged_area_m2,land_rate_incl_gst,wall_face_m2,wall_rate_excl_gst,new_wall_face_m2,new_wall_rate_excl_gst,spoil_m3,liq_cost_excl_gst,site_multiplier,has_damaged_wall,has_new_wall,has_liquefaction,has_crossing,access,earthworks,constructability,lon,lat
ca6fa47b-d647-4ba1-bc71-e8089e6083d1,2,0.0,1886.323901,0.0,0.0,0.0,766.6375,0.0,200.0,0.0,0,0,1,0,E,E,E,174.802146,-41.318371
ca6ffa19-b7d7-4ce8-a366-52e54d6d89e9,1,0.0,1765.03789,0.0,0.0,0.0,766.6375,0.0,200.0,0.0,0,0,1,0,E,E,E,174.795623,-41.322828
ca7b3a53-e1a1-4b7a-9c16-c179c31c525e,1,391.4951,1847.034025,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.800813,-41.31928
cab3d886-0334-4443-b498-ffad0815d2d0,2,0.0,1184.060821,22.228289,1224.08,0.0,766.6375,0.0,0.0,0.05,1,0,0,0,M,E,E,174.777384,-41.323143
cac84eeb-2809-4b0e-a235-a87e6e8760ca,3,0.0,1065.673392,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.791571,-41.312731
cad9c37f-ca1e-4ead-b45d-f2aed65595b9,1,339.2651,1762.028303,0.0,0.0,0.0,766.6375,0.0,4000.0,0.05,0,0,1,0,M,E,E,174.805838,-41.319416
cafa52b0-b847-41d6-97b4-8240892ce289,1,0.0,845.741497,0.0,0.0,0.0,766.6375,0.0,0.0,0.15,0,0,0,0,M,E,D,174.790391,-41.314352
cb273c91-3d94-4d9b-b16e-365e42f52b3a,1,0.0,1261.465325,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.788508,-41.313396
cb288370-43dc-48d9-8f06-8fb1a005aeaf,3,0.0,1698.886633,0.0,0.0,0.0,766.6375,0.0,200.0,0.0,0,0,1,0,E,E,E,174.780324,-41.31639
cb326c45-463f-4d09-8813-4da463a1c485,1,171.1105,1741.656197,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.775975,-41.314458
cb37feda-f1d3-49ff-90e7-b87f7cb476f4,1,303.3984,1913.093562,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.798467,-41.320488
cb6d7f29-7ed3-4d76-b320-043ae5666966,1,270.0244,1901.640888,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.798658,-41.31939
cb798d48-717e-4470-80e0-7d6baead6611,2,0.0,1720.895325,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.786778,-41.312784
cb7ad8f4-2435-4379-bfc6-ac8c71f42d4a,1,0.0,1576.858961,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.785603,-41.314361
cb8ba3ea-5465-4af3-b541-6dea8b1cacee,1,421.5605,1907.26694,0.0,0.0,0.0,766.6375,0.0,2500.0,0.0,0,0,1,0,E,E,E,174.800227,-41.318503
cbafe759-290d-4ae3-89a1-07fa17ec0a52,1,316.6539,1703.662293,0.0,0.0,0.0,766.6375,0.0,1500.0,0.05,0,0,1,0,M,E,E,174.784327,-41.314755
cbb6c79c-b4ab-443c-9dc2-e52e404e0b61,1,272.1863,1664.143506,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.783644,-41.31486
cbc3fc98-d297-46bb-a0c8-a45a1eae7a1b,5,1054.3346,1751.135343,0.0,0.0,0.0,766.6375,0.0,1500.0,0.05,0,0,1,0,M,E,E,174.805026,-41.31896
cbcf25e4-748a-45ff-87cd-a0ca252efce4,1,0.0,1850.417501,0.0,0.0,0.0,766.6375,0.0,200.0,0.05,0,0,1,0,M,E,E,174.800694,-41.320048
cbe45374-479e-458e-b397-4e2904b589e2,1,0.0,925.390617,0.0,0.0,0.0,766.6375,0.0,0.0,0.1,0,0,0,0,M,E,M,174.786755,-41.323074
cbed7e04-65ee-4313-a50b-c0ec000d5b99,1,0.0,963.189393,0.0,0.0,0.0,766.6375,0.0,0.0,0.05,0,0,0,0,E,E,M,174.804572,-41.321773
cc0add4b-778b-4303-9c2c-a826c870e9fa,1,265.0138,1729.217279,0.0,0.0,0.0,766.6375,0.0,1500.0,0.0,0,0,1,0,E,E,E,174.794676,-41.322623
cc0e4238-c1ab-49b0-8f7d-6e8608f119c5,2,0.0,1426.285867,0.0,0.0,0.0,766.6375,0.0,0.0,0.1,0,0,0,0,M,E,M,174.785223,-41.314504
cc14c3c4-f62c-4d82-b718-57ed2b42138f,1,0.0,970.453366,0.0,0.0,0.0,766.6375,0.0,0.0,0.05,0,0,0,0,E,E,M,174.77686,-41.311558
cc21ced9-7169-4f7f-bf34-b2547e49c7ec,1,0.0,1447.526537,0.0,0.0,0.0,766.6375,0.0,0.0,0.05,0,0,0,0,M,E,E,174.784006,-41.309694
cc44729f-1fe9-4d80-8f7b-10fb16acfe23,1,0.0,1689.331419,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.785895,-41.309896
cc4c0357-68de-47ee-92b8-3cbcba4e944c,8,0.0,1678.749547,0.0,0.0,0.0,766.6375,0.0,200.0,0.05,0,0,1,0,M,E,E,174.784423,-41.318693
cc655011-3465-4abd-a93b-a1566ec58dde,1,0.0,1137.464654,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.790129,-41.32502
cc67c3a3-59cb-4b78-b9d2-b28d3843a950,1,0.0,1069.035955,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.786303,-41.311209
cc6b37b9-bbc9-457a-94f0-0571b4a180ec,1,0.0,1031.873286,0.0,0.0,0.0,766.6375,0.0,0.0,0.05,0,0,0,0,E,E,M,174.786373,-41.313194
cc7d3bb4-4e0c-4499-b178-4f3ea6db3e1b,1,267.1644,1599.817129,0.0,0.0,0.0,766.6375,0.0,1500.0,0.0,0,0,1,0,E,E,E,174.785741,-41.311079
cc879668-eac4-4a34-9c1e-3df66a0bbea8,1,362.7465,1670.959169,0.0,0.0,0.0,766.6375,0.0,4000.0,0.0,0,0,1,0,E,E,E,174.804551,-41.322424
ccb0ef88-5dcc-4249-a131-614c87c70b4e,1,347.865,1911.738726,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.798495,-41.319886
cce65c20-5402-49da-99f6-9e0bc52ac86d,1,0.0,908.970013,0.0,0.0,0.0,766.6375,0.0,0.0,0.1,0,0,0,0,E,E,D,174.794728,-41.310707
cce8f22d-df6b-49b4-9c00-51b7fbc43f4c,1,0.0,1868.506521,0.0,0.0,0.0,766.6375,0.0,200.0,0.05,0,0,1,0,M,E,E,174.798095,-41.324594
ccf436fc-2321-4859-a33a-1ead08427cab,1,0.0,1034.971542,0.0,0.0,0.0,766.6375,0.0,0.0,0.05,0,0,0,0,E,E,M,174.777231,-41.314411
ccf45005-4416-41d9-b613-a493b6d9ed6a,1,273.3687,1760.282606,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.781515,-41.314823
ccfbba91-cfb9-40a4-aa42-bed029ca3200,1,313.0267,1632.144711,0.0,0.0,0.0,766.6375,0.0,500.0,0.05,0,0,1,0,M,E,E,174.784668,-41.310483
cd23e32a-c4c5-4bca-b013-916d52d0d216,1,277.4306,1921.122741,0.0,0.0,0.0,766.6375,0.0,1500.0,0.0,0,0,1,0,E,E,E,174.796964,-41.322241
cd287f31-012a-465d-9697-6ac8e6f9a35b,1,0.0,1871.324963,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.777162,-41.320883
cd2bc51a-ec0a-4837-badd-bb9cffc03772,1,0.0,828.483801,0.0,0.0,0.0,766.6375,0.0,0.0,0.1,0,0,0,0,E,E,D,174.791679,-41.314634
cd445474-136b-4615-82c7-0dee1d60946c,1,374.6902,1910.145457,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.783483,-41.316063
cd5166c1-5bee-4330-9b5e-fe4e552988e8,1,0.0,875.694882,24.01011,798.8,0.0,766.6375,0.0,0.0,0.1,1,0,0,0,E,E,D,174.790349,-41.320187
cd5a3bc4-5440-4310-9d8a-5d4f9ca29de2,1,0.0,1445.896149,0.0,0.0,0.0,766.6375,0.0,200.0,0.0,0,0,1,0,E,E,E,174.785832,-41.316706
cd6d08ae-0f85-4ca4-8f40-c4fc1bf4cb2a,1,371.4446,1771.166307,0.0,0.0,0.0,766.6375,0.0,500.0,0.05,0,0,1,0,M,E,E,174.804713,-41.323548
cd73bcb1-9f04-458d-91ca-b08fbecef5b3,1,0.0,1691.932104,0.0,0.0,0.0,766.6375,0.0,0.0,0.05,0,0,0,0,M,E,E,174.794976,-41.312123
cd7d88e0-4b0a-4fc9-8b44-473be94f42c5,1,423.7614,1741.541866,0.0,0.0,0.0,766.6375,0.0,500.0,0.05,0,0,1,0,M,E,E,174.79414,-41.316989
cd7fdbb6-9faf-41ae-909c-15ec722e075a,1,230.4022,1926.099853,0.0,0.0,0.0,766.6375,0.0,2500.0,0.05,0,0,1,0,M,E,E,174.797628,-41.31804
cd871e05-e9a5-4f07-8c42-b8f3d4f770f8,3,438.4132,1851.87205,0.0,0.0,0.0,766.6375,0.0,500.0,0.1,0,0,1,0,M,E,M,174.777446,-41.310915
cd935325-225c-49d5-b700-9886d65126e4,1,177.6144,1651.715286,0.0,0.0,0.0,766.6375,0.0,500.0,0.05,0,0,1,0,M,E,E,174.778403,-41.319192
cd9f1fa2-6ab1-41d1-9ab6-06f964047d78,1,0.0,967.625631,0.0,0.0,0.0,766.6375,0.0,0.0,0.05,0,0,0,0,E,E,M,174.786727,-41.314405
cdbbde50-fc19-4da1-aef6-bc7c0e7ad1d4,1,317.1591,1707.52915,0.0,0.0,0.0,766.6375,0.0,1500.0,0.0,0,0,1,0,E,E,E,174.784212,-41.314778
cdcdc10b-053d-403f-8ddb-8a7a0a7b310e,1,218.6612,1777.882982,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.777641,-41.319116
cdd3003c-11ce-4226-a150-bb1b7cd0b3c7,1,432.843,1889.971092,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.795997,-41.324061
cdd8fcdc-636b-463a-91c4-139c744d7ccd,1,330.9387,1689.273051,0.0,0.0,0.0,766.6375,0.0,1500.0,0.0,0,0,1,0,E,E,E,174.77904,-41.313005
cddcfada-abbd-460f-8084-abf26331c044,1,0.0,1815.9331,0.0,0.0,0.0,766.6375,0.0,200.0,0.0,0,0,1,0,E,E,E,174.801812,-41.319903
cde3f43d-bc1a-4627-a9be-4332cc28cbfb,1,276.6232,2044.322039,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.776322,-41.314415
cdea625d-8a86-4914-9fc3-1cc9d7f2ece3,1,0.0,1019.479091,0.0,0.0,0.0,766.6375,0.0,0.0,0.0,0,0,0,0,E,E,E,174.792116,-41.317775
cdee0e44-31e6-4a9b-a99e-3fd668c85ea0,1,0.0,1846.491168,0.0,0.0,0.0,766.6375,0.0,200.0,0.0,0,0,1,0,E,E,E,174.79778,-41.324279
cdf00228-fbde-486e-8da0-c8809f356b6a,1,383.803,1908.696009,0.0,0.0,0.0,766.6375,0.0,2500.0,0.0,0,0,1,0,E,E,E,174.8034,-41.32246
ce0d25c1-2632-42a7-8b16-b0b43cefc13f,1,402.8303,1926.631192,0.0,0.0,0.0,766.6375,0.0,500.0,0.0,0,0,1,0,E,E,E,174.796973,-41.324289
ce1655e4-490a-4109-a348-d7f25324c08a,1,0.0,1676.392711,0.0,0.0,0.0,766.6375,0.0,200.0,0.0,0,0,1,0,E,E,E,174.783066,-41.319132
