id,river_section_id,wtype,feat_type,name,name_ascii,macronated,length_m
470331,7214383,other,river_cl,,,N,473.1
469758,7213642,other,river_cl,,,N,472.9
472823,7214925,other,river_cl,,,N,472.8
481101,7213415,other,river_cl,,,N,472.8
468512,7641287,other,river_cl,,,N,472.7
470152,7213836,other,river_cl,,,N,472.6
470607,7214661,other,river_cl,,,N,472.0
482684,7214935,other,river_cl,,,N,471.9
468943,7212480,other,river_cl,,,N,471.7
470072,7213752,other,river_cl,,,N,471.7
470172,7213859,other,river_cl,,,N,471.1
437753,7008667,other,river_cl,,,N,470.9
430530,6999710,other,river_cl,,,N,470.7
470433,7214493,other,river_cl,Kororipo Stream,Kororipo Stream,N,470.6
469704,7213586,other,river_cl,,,N,470.4
430606,6999774,other,river_cl,,,N,470.2
469971,7214187,other,river_cl,,,N,470.1
497949,7225274,other,river_cl,,,N,470.1
472929,7215041,other,river_cl,,,N,470.0
469412,7641391,other,river_cl,,,N,470.0
468416,7641197,other,river_cl,,,N,469.9
470588,7214636,other,river_cl,,,N,469.6
429696,7212539,other,river_cl,,,N,469.6
468742,7212316,other,river_cl,,,N,469.4
468420,7641199,other,river_cl,Silver Stream,Silver Stream,N,469.4
468470,7641223,other,river_cl,,,N,469.2
480730,7641429,other,river_cl,,,N,469.2
469590,7213476,other,river_cl,,,N,469.2
469938,7214150,other,river_cl,,,N,469.1
498070,7225382,other,river_cl,,,N,469.0
469891,7214103,other,river_cl,Redington Stream,Redington Stream,N,468.9
469875,7214094,other,river_cl,,,N,468.7
20578,6786378,other,drain_cl,,,N,468.4
469768,7213990,other,river_cl,,,N,468.4
469468,7213382,other,river_cl,,,N,467.9
470041,7213724,other,river_cl,,,N,467.9
470603,7214657,other,river_cl,,,N,467.6
469145,6999083,other,river_cl,North Boulder Creek,North Boulder Creek,N,467.6
470059,7213740,other,river_cl,,,N,467.6
20582,6786379,other,drain_cl,,,N,467.5
472764,7214863,other,river_cl,,,N,467.4
468448,7640871,other,river_cl,,,N,467.4
470131,7213813,other,river_cl,,,N,467.3
481463,7214420,other,river_cl,,,N,467.2
472665,7214761,other,river_cl,,,N,467.1
472763,7214862,other,river_cl,,,N,466.9
469210,7213044,other,river_cl,,,N,466.9
469329,7213163,other,river_cl,,,N,466.9
470204,7213858,other,river_cl,,,N,466.9
481063,7641457,other,river_cl,,,N,466.7
470198,8171196,other,river_cl,,,N,466.7
470355,7214406,other,river_cl,,,N,466.7
469134,7212688,other,river_cl,,,N,466.5
472428,7214275,other,river_cl,,,N,466.2
469738,7213623,other,river_cl,,,N,466.2
429915,7213121,other,river_cl,,,N,466.0
481323,7213723,other,river_cl,,,N,465.9
468477,7641248,other,river_cl,,,N,465.6
468629,7641409,other,river_cl,Kaiwharawhara Stream,Kaiwharawhara Stream,N,465.6
429692,6998743,other,river_cl,,,N,465.3
470061,7213682,other,river_cl,,,N,465.1
469618,7213504,other,river_cl,,,N,464.9
469498,7641513,other,river_cl,,,N,464.8
