Event name (cohort),Loss date,Territorial Location,Basis of settlement,Natural hazard type,Damaged land description,Damaged land area (m2),Total insured land area (m2),Insured land structures damaged,Shared or common land,Imminent Damage,Value of imminent damage,Maori Land,"Is the damaged land directly supporting or protecting the dwelling, accessway, or appurtenant structures?",Indicative land repair cost ($),Land valuation cap ($),Undepreciated repair cost for damaged land structures ($),Indemnity value of damaged land structures ($),Imminent Risk to Building ($),Settlement amount ($),Financial difference between the settlement amount and the indicative cost to repair the damage ($),Expert cost: Engineering ($),Expert cost: Valuer ($),Expert cost: other ($),Time to close claim (days),limited or no info,Incl in final cohort?,Excess ($),Number of dwellings
NHI Act,2025-07-12 00:00:00,OPOTIKI DISTRICT,Valuation,Landslip,Evac & RTW,3.5,400.0,Yes,No,Yes,800,No,Yes - dwelling,42075.42,20616.39,17916.39,0,8713.53,29329.92,12745.5,7713.63,1092.5,4644.39,91,0,Y,500,1
NHI Act,2025-06-27 00:00:00,MARLBOROUGH DISTRICT,Remediation,Storm,Evacuation,380.0,0.0,No,No,No,0,No,Yes - combination,6881.56,48750.0,0,0,0.0,6881.56,0.0,1207.5,0.0,1909.0,60,0,Y,500,1
NHI Act,2025-04-18 00:00:00,AUCKLAND,Remediation,Flood,Flood scour,2.0,0.0,No,Yes,No,0,No,No,731.57,2937.6,0,0,0.0,731.57,0.0,0.0,0.0,2040.53,56,0,Y,500,1
NHI Act,2024-10-04 00:00:00,DUNEDIN CITY,Remediation,Landslip,Land Inundation,40.0,300.0,No,No,No,0,No,Yes - combination,37680.17,36200.0,0,0,0.0,36200.0,1480.17,5859.25,1049.95,3889.61,66,0,Y,500,1
NHI Act,2024-10-04 00:00:00,DUNEDIN CITY,Valuation,Flood,evacuation of land ,50.0,400.0,No,No,Yes,7120,No,Yes - dwelling,133397.97,7120.0,0,0,0.0,7120.0,126277.97,0.0,0.0,6620.0,230,Multi-party land claim - fees paid by lead,Y,500,1
NHI Act,2024-09-04 00:00:00,PORIRUA CITY,Valuation,Landslip,Evacuation and retaining wall damage,28.0,1009.0,No,Yes,Yes,7000,No,Yes - combination,83157.27,55861.0,21361,0,0.0,55861.0,27296.27,0.0,0.0,0.0,170,0,Y,1000,2
NHI Act,2025-09-04 00:00:00,DUNEDIN CITY,Valuation,Landslip,"Evacuation, Inundation RTW",5.7,0.0,Yes,No,Yes,0,No,Yes - combination,53458.0,49015.0,46816,0,0.0,49015.0,4443.0,5719.78,977.5,5565.9,99,Valuation report not found,Y,500,1
NHI Act,2024-09-24 00:00:00,LOWER HUTT CITY,Valuation,Landslip,Evacuation,4.0,837.0,No,No,Yes,1100,No,Yes - dwelling,29015.54,2200.0,0,0,685.75,2885.75,26129.79,12100.83,945.0,5719.0,218,0,Y,500,1
NHI Act,2025-07-29 00:00:00,AUCKLAND,Valuation,Landslip,land and retaining wall damage,5.5,518.0,Yes,No,Yes,760,No,Yes - dwelling,25610.05,17357.8,7857.8,0,0.0,17357.8,8252.25,5750.0,1127.85,5249.41,196,0,Y,500,1
NHI Act,2025-07-28 00:00:00,WELLINGTON CITY,Valuation,Landslip,evacuation of land,3.0,236.0,No,No,No,850,No,Yes - dwelling,50379.59,5050.0,0,0,0.0,5050.0,45329.59,7401.4,805.0,4693.02,112,0,Y,500,1
NHI Act,2025-07-11 00:00:00,TASMAN DISTRICT,Remediation,Landslip,Inundation,630.0,2702.0,Yes,No,No,0,No,No,61381.51,150554.14,8054.14,0,0.0,61381.51,0.0,7909.42,1139.17,6394.94,58,0,Y,500,1
NHI Act,2025-10-23 00:00:00,DUNEDIN CITY,Remediation,Storm,Inundation,155.0,4000.0,No,No,No,0,No,Yes - combination,4485.0,32550.0,0,0,0.0,4485.0,0.0,0.0,0.0,1024.19,64,Notional value used,Y,500,1
NHI Act,2024-10-03 00:00:00,DUNEDIN CITY,Remediation,Landslip,Inundation and Shared RTW,13.0,400.0,Yes,Yes,No,0,No,Yes - dwelling,12094.0,12510.95,6810.96,0,0.0,12094.0,0.0,3435.63,932.65,2202.83,241,50% of unepreciated value of RTW,Y,500,1
NHI Act,45569,DUNEDIN CITY,Valuation,Landslip,Evacuation and Inundation,40.0,400.0,No,No,Yes,230,No,Yes - combination,90100.33,7750.0,0,0,0.0,7750.0,82350.33,5908.13,977.5,6091.22,57,0,Y,500,1
NHI Act,45836,TASMAN DISTRICT,Remediation,Flood,Scour,33.5,4000.0,No,No,No,0,No,Yes - combination,2004.0,4500.0,0,0,0.0,2004.0,0.0,0.0,517.5,2703.82,104,0,Y,500,1
NHI Act,45957,QUEENSTOWN-LAKES DISTRICT,Valuation,Landslip,Evacuation and RTW,95.0,450.0,Yes,No,Yes,15700,No,Yes - dwelling,577373.67,139737.0,38936.7,0,792.01,140529.01,436844.66,7376.01,1161.5,5239.5,140,0,Y,500,1
NHI Act,45842,NEW PLYMOUTH DISTRICT,Valuation,Landslip,Evacuation and Inundation,3.0,400.0,No,No,Yes,250,No,Yes - dwelling,44972.27,2250.0,0,0,0.0,2250.0,42722.27,6832.21,977.5,5321.28,142,0,Y,500,1
NHI Act,45778,CHRISTCHURCH CITY,Valuation,Landslip,Evacuation and Inundation,39.5,4000.0,No,No,Yes,1500,No,Yes - combination,40379.17,7900.0,0,0,0.0,7900.0,32479.17,5750.0,1460.5,0.0,53,0,Y,500,1
NHI Act,45862,WHANGAREI DISTRICT,Valuation,Storm,Evacuation,6.0,400.0,Yes,No,Yes,250,No,Yes - dwelling,25257.25,23318.0,22568,0,0.0,23318.0,1939.25,5778.75,1104.0,2592.07,208,0,Y,500,1
